fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221123 011832	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	196	1	1	1	0.1	50	0.5	FALSE	987353	0.0553269780267279	0.399529335814453	0.655932884857247	7.49503943492922	0.0172413575264754	19616	44208000	35
20221123 013454	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1181	1	1	1	0.1	50	0.5	FALSE	987353	0.280232322193659	0.868322052349592	0.855349276281742	1.44033353963005	0.0182543694636315	19601	37998000	36
20221123 015503	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	211	1	1	1	0.1	50	0.5	FALSE	987353	0.154869991479013	0.491861988187015	0.762425212296948	8.75479959804227	0.00273093832615566	18776	41968000	37
20221123 022039	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	562	1	1	1	0.1	50	0.5	FALSE	987353	0.0730269181167494	0.369953365181551	0.524578035473315	4.32472375283018	0.0203033176305586	18699	44202000	38
20221123 023448	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	158	1	1	1	0.1	50	0.5	FALSE	987353	0.273885090666368	0.319390283952374	0.512682465169195	9.53075174185983	0.000792548467828805	16882	40156000	39
20221123 024230	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	117	1	1	1	0.1	50	0.5	FALSE	987353	0.20322518094913	0.639197901545418	0.864982291966386	3.55056617308105	0.0206922776737711	18831	43058000	40
20221123 025321	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	33	1	1	1	0.1	50	0.5	FALSE	987353	0.260113347485771	0.776565828062291	0.156966272706538	11.7907411375388	0.00750367334945302	17644	34392000	41
20221123 030404	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	127	1	1	1	0.1	50	0.5	FALSE	987353	0.169540554521327	0.768647260344494	0.305922672250611	8.67829248132184	0.0146565307638939	17733	43014000	42
20221123 032314	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	372	1	1	1	0.1	50	0.5	FALSE	987353	0.0788624291077699	0.385174813473248	0.569081012747216	3.19365791234234	0.0199497233566288	18593	42894000	43
20221123 040021	3321	1171950	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	590	1	1	1	0.1	50	0.5	FALSE	987353	0.0640401335807319	0.267972034996562	0.956456694470067	11.6002441207673	2.9168591825414e-06	16238	45204000	44
